Nombre/Años,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
Karen Araya,3,5,19,1,4,13
Camila Sáez,3,4,9,,2,13
Yanara Aedo,,4,12,1,4,4
Christiane Endler,3,4,10,1,3,3
Francisca Lara,3,5,10,,4,
Daniela Zamora	,,4,11,1,,5
Yesenia López,3,5,,1,,11
Javiera Toro ,,,8,1,4,5
María José Urrutia,,3,7,1,4,2
Yenny Acuña ,,,,,4,12
Su Helen Galaz,1,4,8,1,,2
Rosario Balmaceda,,,7,1,4,4
Carla Guerrero,3,4,5,1,,3
Nayadet López ,,,3,1,1,9
Fernanda Pinilla,3,,7,,,4
Yastín Jiménez,,,,,1,12
Javiera Grez,2,,,,2,8
Rocío Soto,1,4,5,1,,
Geraldine Leyton,3,5,,1,1,
Maria José Rojas,3,4,,,0,
Yessenia Huenteo,3,3,,,,
Claudia Soto,3,3,,,,
Antonia Canales ,,,0,0,0,6
Michelle Olivares,,,,,,5
Fernanda Ramírez ,,,,0,1,4
Daniela Pardo ,,,5,,,
Valentina Navarrete ,,,,,,4
Natalia Campos,0,1,2,0,1,
Millaray Cortez,,,,,,4
Yazmín Torrealba ,,,3,,,
Sonya Keefe,,,,0,,3
María Mardones,,,2,1,,
Maria Cristina Julio,2,,,,1,
Ivette Olivares,,,,,,3
Isidora Olave ,,,,0,,3
Franchesca Caniguan,,,,,,3
Fernanda Hidalgo ,,,,,,3
Daniela Pardo,2,,,1,,
Bárbara Santibañez,,3,,,,
Ana Gutiérrez	,,3,,,,
Sofia Hartard,2,,,,,
Melissa Bustos,,,,,,2
Karen Fuentes ,,,,,,2
Anaís Alvarez ,,,,,,2
Ámbar Figueroa ,,,,,,2
Agustina Heyermann,,,,,,2
Ryann Torrero ,,,,,,1
Nicol Sanhueza,,1,,,,
Javiera Roa,,,1,0,,
Gissela Pino,,,,,,1
Denisse Orellana,1,,,,,
Anaís Cifuentes,,,,,,1
Thiare Parraguez ,,,,,,0
Nicole Gutiérrez,,,,,0,
Nicole Cornejo ,,,,,0,
Isidora Hernández ,,,,,0,
Ignacia Bustos ,,,,,,0
Catalina Mellado ,,,,,,0
Barbara Muñoz,,,,0,,
Âmbar Soruco,0,0,,,,
