Nombre/Año,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,Total
Karen Araya,3,5,19,1,4,13,45
Camila Sáez,3,4,9,,2,13,31
Yanara Aedo,,4,12,1,4,4,25
Christiane Endler,3,4,10,1,3,3,24
Francisca Lara,3,5,10,,4,,22
Daniela Zamora	,,4,11,1,,5,21
Yesenia López,3,5,,1,,11,20
Javiera Toro ,,,8,1,4,5,18
María José Urrutia,,3,7,1,4,2,17
Yenny Acuña ,,,,,4,12,16
Su Helen Galaz,1,4,8,1,,2,16
Rosario Balmaceda,,,7,1,4,4,16
Carla Guerrero,3,4,5,1,,3,16
Nayadet López ,,,3,1,1,9,14
Fernanda Pinilla,3,,7,,,4,14
